scxcrd-rhe40-01 (redhat_4_x86)
scxcrd64-rhe40-4 (redhat_4_x64)
scxcrd-rhel50-02 (redhat_5_x86)
scxcrd64-rhe50-4 (redhat_5_x64)
scxnetra01 (sun_5.8_sparc)
scxsun14 (sun_5.9_sparc)
scxsun12 (sun_5.10_sparc)
scxcrd-sol10-01 (sun_5.10_x86)
scxsles9-03b (suse_9_x86)
scxcrd-sle10-03 (suse_10_x86)
scxcrd64-sle10-1 (suse_10_x64)
scxcr-sles11-03 (suse_11_x86)
scxcr64-sle11-03 (suse_11_x64)
scxaix3-1 (aix_5.3)
scxaix1 (aix_6.1)
scxhpi10 (hp_v2_ia64)
scxhpr3 (hp_v2_risc)
scxhpi1 (hp_v3_ia64)
scxhpr2 (hp_v3_risc)
